filename,class_id,class_name,confidence,x_min_pixel,y_min_pixel,x_max_pixel,y_max_pixel
ALF032721.jpg,0,leaf,0.9278,1265,4618,1668,5260
ALF032741.jpg,2,stem,0.2509,2650,1683,2706,2011
ALF032741.jpg,0,leaf,0.2591,384,3851,455,3983
ALF032741.jpg,3,flower,0.2603,3532,1557,3617,1669
ALF032741.jpg,2,stem,0.2754,350,4419,627,4599
ALF032741.jpg,2,stem,0.2861,1556,2435,1630,2808
ALF032741.jpg,2,stem,0.3056,361,3605,407,3818
ALF032741.jpg,2,stem,0.3641,300,5063,559,5381
ALF032741.jpg,0,leaf,0.3728,1585,2321,1649,2407
ALF032741.jpg,3,flower,0.3771,3181,3261,3256,3338
ALF032741.jpg,2,stem,0.4034,3154,1168,3274,1312
ALF032741.jpg,2,stem,0.4166,1274,2255,1593,2431
ALF032741.jpg,2,stem,0.4194,1712,3758,1776,4136
ALF032741.jpg,2,stem,0.4312,2980,3015,3517,3484
ALF032741.jpg,0,leaf,0.47,3271,1283,3343,1391
ALF032741.jpg,3,flower,0.5727,1423,5725,1496,5803
ALF032741.jpg,2,stem,0.5749,1479,2028,1778,2176
ALF032741.jpg,2,stem,0.5757,3293,2806,3417,3002
ALF032741.jpg,0,leaf,0.5922,1560,2232,1759,2340
ALF032741.jpg,2,stem,0.6111,3570,1678,3632,1946
ALF032741.jpg,3,flower,0.6208,3351,3162,3421,3230
ALF032741.jpg,0,leaf,0.6271,1528,5727,1611,5838
ALF032741.jpg,0,leaf,0.6522,1663,2734,1806,2971
ALF032741.jpg,2,stem,0.6542,2285,2656,2759,3165
ALF032741.jpg,3,flower,0.6562,1681,3015,1763,3119
ALF032741.jpg,3,flower,0.6639,1930,843,2077,963
ALF032741.jpg,0,leaf,0.6705,347,4416,648,4601
ALF032741.jpg,1,root,0.6761,258,5378,388,5513
ALF032741.jpg,3,flower,0.6808,436,3791,578,3944
ALF032741.jpg,3,flower,0.6845,2530,2397,2645,2526
ALF032741.jpg,3,flower,0.6885,1631,2628,1716,2725
ALF032741.jpg,2,stem,0.6922,1100,5666,1556,5944
ALF032741.jpg,0,leaf,0.6993,400,3417,607,3567
ALF032741.jpg,2,stem,0.7124,128,1917,240,2850
ALF032741.jpg,2,stem,0.718,2633,1987,2736,2501
ALF032741.jpg,3,flower,0.7211,371,3387,482,3489
ALF032741.jpg,0,leaf,0.7235,292,3194,688,3274
ALF032741.jpg,2,stem,0.7317,1637,3158,1729,3683
ALF032741.jpg,3,flower,0.7337,277,2982,383,3095
ALF032741.jpg,0,leaf,0.7365,867,5595,1118,5997
ALF032741.jpg,3,flower,0.7379,603,4114,709,4262
ALF032741.jpg,0,leaf,0.7409,1486,2035,1778,2171
ALF032741.jpg,3,flower,0.7468,1742,3474,1837,3584
ALF032741.jpg,0,leaf,0.753,3324,2496,3426,2752
ALF032741.jpg,0,leaf,0.7582,1793,3941,1875,4058
ALF032741.jpg,2,stem,0.7664,3321,1382,3512,1597
ALF032741.jpg,3,flower,0.7743,2349,1235,2453,1359
ALF032741.jpg,2,stem,0.7922,1613,617,1916,1112
ALF032741.jpg,3,flower,0.8026,1584,512,1696,612
ALF032741.jpg,2,stem,0.8119,1620,4655,1742,5073
ALF032741.jpg,0,leaf,0.8141,3433,2870,3647,3167
ALF032741.jpg,0,leaf,0.8154,1755,2559,2317,3043
ALF032741.jpg,0,leaf,0.8171,3299,1593,3568,1700
ALF032741.jpg,0,leaf,0.8253,1612,2382,1865,2466
ALF032741.jpg,0,leaf,0.8289,2511,1782,2658,1988
ALF032741.jpg,2,stem,0.8371,584,4647,1120,4953
ALF032741.jpg,2,stem,0.8425,429,3965,596,4413
ALF032741.jpg,0,leaf,0.8489,3406,2457,3772,2570
ALF032741.jpg,2,stem,0.851,170,5518,355,5780
ALF032741.jpg,2,stem,0.8511,3431,2049,3573,2409
ALF032741.jpg,0,leaf,0.8541,2528,3170,2885,3436
ALF032741.jpg,2,stem,0.8587,1927,1010,2351,1390
ALF032741.jpg,0,leaf,0.8684,2064,2096,2594,2667
ALF032741.jpg,2,stem,0.8699,1703,4069,1831,4523
ALF032741.jpg,0,leaf,0.8703,1699,3103,2042,3187
ALF032741.jpg,2,stem,0.8855,2355,1369,2547,1642
ALF032741.jpg,0,leaf,0.8963,1764,3587,2053,3820
ALF032741.jpg,0,leaf,0.9004,109,4836,642,5036
ALF032741.jpg,0,leaf,0.9062,2594,3825,3098,4058
ALF032741.jpg,2,stem,0.9075,2534,928,3128,1202
ALF032741.jpg,0,leaf,0.9137,1676,4549,2075,4744
ALF032741.jpg,0,leaf,0.9174,1841,4044,2101,4318
